ParishID,Adoration_Times,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
256,"{""Nocturnal Adoration"": ""Every first Friday of the month after the 6 PM (Spanish) Mass"",""Holy Hour"": ""Thursday 7:00 PM \u2013 8:00 PM (Spanish)""}",,,,,,6 PM,6 PM
257,"{""Wednesday"": ""9:30 AM to 6:30 PM Benediction @ 6:30 PM""}",,,,,9:30 AM - 6:30 PM,,
258,"{""Friday"": [""8:30 AM - 7:00 PM""]}",,,,,,,8:30 AM - 7:00 PM
259,"Monday, 8:30 AM\u2013Saturday, 8 AM",8:30 AM,,8:30 AM,,,,
260,,,,,,,,
261,"{""Monday"": ""8:30 AM - 8:00 PM"",""Friday"": ""8:30 AM - 8:00 PM"",""Wednesday"": ""8:30 AM - 5:00 PM"",""Saturday"": ""8:30 AM - 7:00 PM""}",8:30 AM - 8:00 PM,,8:30 AM - 8:00 PM,,8:30 AM - 8:00 PM,,8:30 AM - 8:00 PM
262,"{""Monday"": ""8:00 AM \u2013 11:59 PM"",""Tuesday"": ""12:00 AM \u2013 11:59 PM"",""Wednesday"": ""12:00 AM \u2013 11:59 PM"",""Thursday"": ""12:00 AM \u2013 11:59 PM"",""Friday"": ""12:00 AM \u2013 11:59 PM"",""Saturday"": ""12:00 AM \u2013 9:00 AM""}",8:00 AM,,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
263,Daily between 9:30 AM & 9:00 PM,,,,,,,
264,"{""Monday"": ""8:30 AM - 8:00 PM"",""Wednesday"": ""12:00 PM - 5:00 PM"",""Friday"": ""8:30 AM - Saturday 8:00 AM"",""Parish_Holy_Hour"": ""Wednesday 5:00 PM - 6:00 PM""}",8:30 AM - 8:00 PM,,8:30 AM - 8:00 PM,,8:30 AM - 8:00 PM,,8:30 AM - 8:00 PM
265,"{""First Friday"": {""Holy Mass"": ""6:30 PM"",""Adoration"": ""9:00 AM to 6:15 PM"",""Benediction"": ""6:15 PM""},""Weekdays"": ""After 5:30 PM Mass on Wednesday""}",,,,,6:30 PM - 6:15 PM,,6:30 PM - 6:15 PM
266,,,,,,,,
267,,,,,,,,
268,"{""Sunday"": [""7:00 AM to 8:15 AM (Observe silent)"",""11:00 AM to 11:50 AM""],""Monday"": ""5:00 PM to 5:45 PM"",""Tuesday"": ""8:00 AM to 8:45 AM (Observe silence)"",""Wednesday"": ""5:00 PM to 5:45 PM"",""Thursday"": ""8:00 AM to 8:45 AM (Observe silence)"",""Saturday"": [""8:00 AM to 8:45 AM (Observe silent)"",""4:00 PM to 4:45 PM (Observe silent)""],""1st Friday"": ""5:00 PM to 6:00 PM""}",7:00 AM - 8:15 AM,7:00 AM - 8:15 AM,7:00 AM - 8:15 AM,7:00 AM - 8:15 AM,7:00 AM - 8:15 AM,7:00 AM - 8:15 AM,7:00 AM - 8:15 AM
269,"{""Thursday"": ""4:00 PM to 7:00 PM"",""Friday"": ""after 9:30 AM Mass"",""First Friday"": ""6:00 PM to 8:00 PM""}",,,,,,4:00 PM - 7:00 PM,4:00 PM - 7:00 PM
270,,,,,,,,
271,,,,,,,,
272,"24 hours a day, 7 days a week",,,,,,,
