ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
115,"7:30 AM, 5:00 PM, 7:00 PM","8:00 AM, 10:00 AM, 12:00 PM",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM,English
116,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",5:00 PM,8:30 AM,8:30 AM,8:30 AM,12:00 PM,English
117,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",8:30 AM,8:30 AM,10:00 AM,8:30 AM,"8:30 AM, 8:00 PM",English
118,"8:00 AM, 9:00 AM","8:00 AM, 12:00 PM",,,,,,English
119,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM",English
120,5:30 PM,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 5:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,"English, Spanish"
121,9:00 AM,"7:30 AM, 9:30 AM, 11:30 AM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,English
122,"5:00 PM, 5:30 PM","8:00 AM, 10:00 AM, 11:30 AM, 12:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
123,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM,English
124,,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 5:00 PM",,,,,,English
125,5:30 PM,"8:00 AM, 10:00 AM, 12:00 PM",,,,,,English
126,,,,,,,,English
127,"9:00 AM, 4:00 PM, 6:00 PM","8:45 AM, 10:30 AM, 12:00 PM, 6:00 PM",9:00 AM,"9:00 AM, 6:00 PM",9:00 AM,9:00 AM,9:00 AM,"English, Spanish"
128,"8:30 AM, 4:00 PM, 5:30 PM, 7:00 PM","9:00 AM, 11:00 AM, 12:30 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM",English
129,8:15 AM,"7:30 AM, 9:30 AM, 11:30 AM, 1:15 PM",,8:15 AM,8:15 AM,8:15 AM,8:15 AM,English
130,5:00 PM,"8:00 AM, 10:00 AM, 11:30 AM, 6:30 PM",,,,,,English
131,"5:30 PM, 12:00 PM","7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
132,"5:00 PM, 6:30 PM, 7:00 AM","7:00 AM, 8:15 AM, 9:30 AM, 10:45 AM, 12:15 PM, 6:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
133,"8:45 AM, 5:00 PM","8:00 AM, 11:00 AM",8:45 AM,8:45 AM,8:45 AM,8:45 AM,8:45 AM,English
134,6:00 PM,"8:00 AM, 10:30 AM, 12:00 PM",,,,,,English
